MethoMESH:D_Class	MeSH MESH:Descriptor
	MESH:D000073601
	MESH:D018529
	MESH:D000073319
	MESH:D049088
	MESH:D050110
	MESH:D015390
	MESH:D015391
	MESH:D007581
	MESH:D059351
	MESH:D054158
	MESH:D019637
	MESH:D060826
	MESH:D054854
	MESH:D058498
	MESH:D017586
	MESH:D017587
	MESH:D007404
	MESH:D007796
	MESH:D065406
	MESH:D008349
	MESH:D000072229
	MESH:D000070638
	MESH:D009988
	MESH:D059408
	MESH:D005791
	MESH:D000553
	MESH:D010531
	MESH:D057668
	MESH:D003266
	MESH:D000359
	MESH:D012046
	MESH:D000203
	MESH:D056447
	MESH:D056147
	MESH:D001638
	MESH:D000072038
	MESH:D012048
	MESH:D003145
	MESH:D008085
	MESH:D008369
	MESH:D012813
	MESH:D004434
	MESH:D005081
	MESH:D000076663
	MESH:D015915
	MESH:D052580
	MESH:D059385
	MESH:D055070
	MESH:D000066530
	MESH:D000071939
	MESH:D009788
	MESH:D057173
	MESH:D012049
	MESH:D007808
	MESH:D020247
	MESH:D013071
	MESH:D013072
	MESH:D013070
	MESH:D014834
	MESH:D012050
	MESH:D000069350
	MESH:D010351
	MESH:D062209
	MESH:D010360
	MESH:D000076522
	MESH:D060305
	MESH:D000069341
	MESH:D003422
	MESH:D000074388
	MESH:D015931
	MESH:D003482
	MESH:D003631
	MESH:D000081206
	MESH:D017050
	MESH:D005581
	MESH:D006760
	MESH:D007902
	MESH:D010343
	MESH:D010359
	MESH:D007326
	MESH:D003688
	MESH:D000079243
	MESH:D008020
	MESH:D008134
	MESH:D009551
	MESH:D009732
	MESH:D006701
	MESH:D012144
	MESH:D059017
	MESH:D010166
	MESH:D056888
	MESH:D060127
	MESH:D018743
	MESH:D011181
	MESH:D019990
	MESH:D007430
	MESH:D013527
	MESH:D011182
	MESH:D000082622
	MESH:D016742
	MESH:D011295
	MESH:D011300
	MESH:D000084982
	MESH:D000079142
	MESH:D019467
	MESH:D013727
	MESH:D005065
	MESH:D028601
	MESH:D033101
	MESH:D037901
	MESH:D005066
	MESH:D017051
	MESH:D017236
	MESH:D061665
	MESH:D028761
	MESH:D064872
	MESH:D010356
	MESH:D010789
	MESH:D006370
	MESH:D062325
	MESH:D006414
	MESH:D014467
	MESH:D011701
	MESH:D017893
	MESH:D026741
	MESH:D026241
	MESH:D006875
	MESH:D007507
	MESH:D020393
	MESH:D057285
	MESH:D010919
	MESH:D011309
	MESH:D000077780
	MESH:D012034
l	MESH:D000085642
	MESH:D001793
	MESH:D058731
	MESH:D009926
	MESH:D012662
	MESH:D017755
	MESH:D060489
	MESH:D011677
	MESH:D001815
	MESH:D000078702
	MESH:D000078703
	MESH:D017115
	MESH:D000074060
	MESH:D011878
	MESH:D001918
	MESH:D016371
	MESH:D010910
	MESH:D061888
	MESH:D063193
	MESH:D061766
	MESH:D017619
	MESH:D015182
	MESH:D016634
	MESH:D061106
	MESH:D011881
	MESH:D020266
	MESH:D050397
	MESH:D011879
	MESH:D019583
	MESH:D000069473
	MESH:D011882
	MESH:D017247
	MESH:D016754
	MESH:D011867
	MESH:D061089
	MESH:D000069475
	MESH:D014916
	MESH:D014964
	MESH:D012060
	MESH:D012074
	MESH:D017582
	MESH:D000079664
	MESH:D006440
	MESH:D006464
	MESH:D000079782
	MESH:D000079763
	MESH:D006435
	MESH:D017583
	MESH:D006437
	MESH:D010530
	MESH:D016030
	MESH:D012099
	MESH:D003267
	MESH:D003076
	MESH:D042121
	MESH:D003269
	MESH:D044363
	MESH:D000073516
	MESH:D000080282
	MESH:D000075523
	MESH:D012252
	MESH:D034445
	MESH:D013245
	MESH:D027724
	MESH:D000072234
	MESH:D004624
	MESH:D056826
	MESH:D059247
	MESH:D005307
	MESH:D000069321
	MESH:D020554
	MESH:D015181
	MESH:D059471
	MESH:D007315
	MESH:D007316
	MESH:D007317
	MESH:D018587
	MESH:D054315
	MESH:D010062
	MESH:D013480
	MESH:D037022
	MESH:D053625
	MESH:D017388
	MESH:D015145
	MESH:D012138
	MESH:D035641
	MESH:D015199
	MESH:D010102
	MESH:D006931
	MESH:D019233
	MESH:D017694
	MESH:D016879
	MESH:D055502
	MESH:D012648
	MESH:D000085263
	MESH:D057829
	MESH:D057830
	MESH:D016060
	MESH:D016061
	MESH:D055512
	MESH:D060205
	MESH:D035703
	MESH:D057176
	MESH:D013813
	MESH:D011880
	MESH:D061147
	MESH:D061485
	MESH:D000074164
	MESH:D000085582
	MESH:D000760
	MESH:D000698
	MESH:D015360
	MESH:D016362
	MESH:D016058
	MESH:D001297
